Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),ELECTRICITY NEEDED,EXCESS SOLAR,BATTERY LEVELS,ELECTRICITY PROVIDE BY BAT,ELECTRICT BILL LESS BAT
0,1 01 2020 00:00,0.0000000 ,1.5098490 ,1.5098490 ,0,10.4901510 ,1.5098490 ,0.0000000 
1,1 01 2020 01:00,0.0000000 ,1.4118588 ,1.4118588 ,0,9.0782922,1.4118588 ,0.0000000 
2,1 01 2020 02:00,0.0000000 ,1.0238976 ,1.0238976 ,0,8.0543946,1.0238976 ,0.0000000 
3,1 01 2020 03:00,0.0000000 ,0.6420000 ,0.6420000 ,0,7.4123946,0.6420000 ,0.0000000 
4,1 01 2020 04:00,0.0000000 ,0.9600000 ,0.9600000 ,0,6.4523946,0.9600000 ,0.0000000 
5,1 01 2020 05:00,0.0120000 ,0.8970000 ,0.8850000 ,0,5.5673946,0.8850000 ,0.0000000 
6,1 01 2020 06:00,0.0060000 ,0.6480000 ,0.6420000 ,0,4.9253946,0.6420000 ,0.0000000 
7,1 01 2020 07:00,0.0090000 ,0.7740000 ,0.7650000 ,0,4.1603946,0.7650000 ,0.0000000 
8,1 01 2020 08:00,0.0120000 ,1.2990000 ,1.2870000 ,0,2.8733946,1.2870000 ,0.0000000 
9,1 01 2020 09:00,0.8460000 ,0.6060000 ,0.0000000 ,0.24,3.1133946,0.0000000 ,0.0000000 
10,1 01 2020 10:00,0.0000000 ,0.0000000 ,0.0000000 ,0,3.1133946,0.0000000 ,0.0000000 
11,1 01 2020 11:00,0.0000000 ,0.0000000 ,0.0000000 ,0,3.1133946,0.0000000 ,0.0000000 
12,1 01 2020 12:00,0.6510000 ,0.3960000 ,0.0000000 ,0.255,3.3683946,0.0000000 ,0.0000000 
13,1 01 2020 13:00,0.3630000 ,0.6150000 ,0.2520000 ,0,3.1163946,0.2520000 ,0.0000000 
14,1 01 2020 14:00,0.3030000 ,1.4190000 ,1.1160000 ,0,2.0003946,1.1160000 ,0.0000000 
15,1 01 2020 15:00,0.1590000 ,1.4370000 ,1.2780000 ,0,0.7223946,1.2780000 ,0.0000000 
16,1 01 2020 16:00,0.0810000 ,3.1050000 ,3.0240000 ,0,0,0.7223946 ,2.3016054 
17,1 01 2020 17:00,0.0060000 ,0.4800000 ,0.4740000 ,0,0,0.0000000 ,0.4740000 
